YEAR, STATE, GunDeathsPerCapita, DEATHS
2020, AL, 23.6, 1141
2020, AK, 23.5, 175
2020, AZ, 16.7, 1265
2020, AR, 22.6, 673
2020, CA, 8.5, 3449
2020, CO, 15.4, 922
2020, CT, 6, 219,
2020, DE, 14.4, 135
2020, FL, 13.7, 3041
2020, GA, 17.7, 1897
2020, HI, 3.4, 50
2020, ID, 17.6, 321
2020, IL, 14.1, 1745
2020, IN, 17.3, 1159
2020, IA, 11.2, 351
2020, KS, 16.9, 494
2020, KY, 20.1, 902
2020, LA, 26.3, 1183
2020, ME, 10.4, 153
2020, MD, 13.5, 803
2020, MA, 3.7, 268
2020, MI, 14.6, 1454
2020, MN, 8.9, 513
2020, MS, 28.6, 818
2020, MO, 23.9, 1426
2020, MT, 20.9, 238
2020, NE, 10.1, 197
2020, NV, 17, 547
2020, NH, 8.9, 128
2020, NJ, 5, 443
2020, NM, 22.7, 479
2020, NY, 5.3, 1052
2020, NC, 16, 1699
2020, ND, 13.8, 100
2020, OH, 15.2, 1764
2020, OK, 20.7, 826
2020, OR, 13, 592
2020, PA, 13.6, 1752
2020, RI, 5.1, 54
2020, SC, 22, 1131
2020, SD, 13.6, 120
2020, TN, 21.3, 1473
2020, TX, 14.2, 4164
2020, UT, 13.6, 429
2020, VT, 11.6, 76
2020, VA, 13.4, 1174
2020, WA, 10.9, 864
2020, WV, 18.1, 325
2020, WI, 12.2, 717
2020, WY, 25.9, 154
